通用规范字ID,字头,结构,部件,偏旁变体,部首,拼音与部件名称,笔画数,笔顺,笔顺提示
1,一,独体,"",,一,yī/横,1,0000000000000000000000001,
2,乙,独体,"",,乛,yǐ,1,0000000000000000000000005,
3,二,独体,"一,一",,一,èr,2,0000000000000000000000011,
4,十,独体,"一,丨",,十,shí,2,0000000000000000000000012,
5,丁,独体,"",,一,dīng,2,0000000000000000000000012,
6,厂,独体,"",,厂,chǎng,2,0000000000000000000000013,
7,七,独体,"",,一,qī,2,0000000000000000000000015,
8,卜,独体,"",,卜,bǔ/bo,2,0000000000000000000000024,
9,八,独体,"",,八,bā,2,0000000000000000000000034,
10,人,独体,"",亻,人,rén,2,0000000000000000000000034,
11,入,独体,"",,入,rù,2,0000000000000000000000034,
12,儿,独体,"丿,乚",,儿,ér,2,0000000000000000000000035,
13,匕,独体,"",,匕,bǐ,2,0000000000000000000000035,第一笔是撇，不是竖弯钩。
14,几,独体,"",,几,jǐ/jī,2,0000000000000000000000035,
15,九,独体,"",,丿,jiǔ,2,0000000000000000000000035,第一笔是撇，不是横折弯钩。
16,刁,独体,"",,乛,diāo,2,0000000000000000000000051,
17,了,独体,"乛,亅",,乛,le/liǎo,2,0000000000000000000000052,
18,刀,独体,"𠃌,丿",刂,刀,dāo,2,0000000000000000000000053,
19,力,独体,"𠃌,丿",,力,lì,2,0000000000000000000000053,
20,乃,独体,"𠄎,丿",,乛,nǎi,2,0000000000000000000000053,
21,又,独体,"",,又,yòu,2,0000000000000000000000054,
22,三,独体,"一,二",,一,sān,3,0000000000000000000000111,
23,干,独体,"一,十",,干,gān/gàn,3,0000000000000000000000112,
24,于,独体,"",,一,yú,3,0000000000000000000000112,
25,亏,上下,"一,丂",,一,kuī,3,0000000000000000000000115,
26,工,独体,"",,工,gōng,3,0000000000000000000000121,
27,土,独体,"十,一",,土,tǔ,3,0000000000000000000000121,
28,士,独体,"十,一",,士,shì,3,0000000000000000000000121,
29,才,独体,"",,一,cái,3,0000000000000000000000123,
30,下,独体,"一,卜",,一,xià,3,0000000000000000000000124,
31,寸,独体,"",,寸,cùn,3,0000000000000000000000124,
32,大,独体,"一,人",,大,dà/dài,3,0000000000000000000000134,
33,丈,独体,"",,一,zhàng,3,0000000000000000000000134,
34,与,独体,"",,一,yǔ/yù,3,0000000000000000000000151,
35,万,独体,"",,一,wàn/mò,3,0000000000000000000000153,第二笔是横折钩，不是撇。
36,上,独体,"⺊,一",,⺊,shàng/shǎng,3,0000000000000000000000211,
37,小,独体,"",,小,xiǎo,3,0000000000000000000000234,
38,口,独体,"",,口,kǒu,3,0000000000000000000000251,
39,山,独体,"",,山,shān,3,0000000000000000000000252,
40,巾,独体,"",,巾,jīn,3,0000000000000000000000252,
41,千,独体,"丿,十",,丿,qiān,3,0000000000000000000000312,
42,乞,上下,"𠂉,乙",,乛,qǐ,3,0000000000000000000000315,
43,川,独体,"",,丿,chuān,3,0000000000000000000000322,
44,亿,左右,"亻,乙",,亻,yì,3,0000000000000000000000325,
45,个,独体,"人,丨",,人,gè/gě,3,0000000000000000000000342,
46,夕,独体,"𠂊,丶",,夕,xī,3,0000000000000000000000354,
47,久,独体,"𠂊,丶",,丿,jiǔ,3,0000000000000000000000354,
48,么,独体,"丿,厶",,丿,me,3,0000000000000000000000354,
49,勺,半包围,"勹,丶",,勹,sháo,3,0000000000000000000000354,
50,凡,独体,"几,丶",,几,fán,3,0000000000000000000000354,
